# Language File – BACKEND
# SWEDISH
# languages
"english";"Engelska"
"Current Version";"Nuvarande version"
"Available Versions";"Tillgängliga versioner"
"Default";"standard"
"Step 2: What type of page would you like to create?";"Steg 2: Vilken typ av sida vill du skapa?"
"Select a type";"Välj en typ"
"You can not add any pages to this section.";
"Parent page";"Förälder sida"
"Site Root";"Sid Rot"
"Template";
"Continue adding pages";"Fortsätt lägg till sidor"
"Show Page on menu";
"Publish page instantly";
"Submit";"Skicka"
# admin section -- Site --
"Site Settings";"Webbplats Inställningar"
"Site";
"Site Console";"Webbplats konsol"
"Digitalus CMS Test Message";
"About the Console";"Om konsolen"
"The site console enables you to interact directly with the CMS core.";"Konsolen gör att nu kan interagera direkt med CMS kärnan."
"It is for experienced administrators only.";"Endast för erfarna administratörer."
"Digitalus Console";"Digitalus Console"
"Info";"Info"
"Run Command";"Kör Kommando"
"General";"Allmän"
"Meta Data";"Meta Data"
"Internationalization";"Internationalisera"
"Mail";
"Google";"Google"
"Update Site Settings";"Uppdatera Webbplats Inställningar"
"General settings";"Allmäna Inställningar"
"Site name";"Webbplats namn"
"Title separator";"Titel separator"
"Status";"Status"
"Site is online";"Webbplats är online"
"Update General Site Settings";"Uppdatera Allmäna Sid Inställningar"
"Managing Content";"Hantera Innehåll"
"Home Page";"Start Sida"
"404 Page";"404 Sida"
"Site Offline Page";"Webbplats Offline Sida"
"Menu links";"Meny länkar"
"Automatically add menu links";"Lägg till menylänkar automatiskt"
"Publish Pages";
"Automatically publish pages on creation";
"Update Content Settings";"Uppdatera Innehålls Inställningar"
"Default design";
"Update Design Settings";
"XML declaration";
"Doc Type";"Dokumenttyp"
"Default charset";"Standard teckenkodning"
"Default timezone";"Standard tidszon"
"Update Page Meta Data";"Uppdatera Page Meta Data"
"Default language";"Standard språk"
"Admin language";"Administrations språk"
"Update Internationalization Settings";"Uppdatera Internationalisering Inställningar"
"Mail Settings";"Mail inställningar"
"Default email address";"Standard e-post adress"
"Default sender";"Standard avsändaren"
"Transport";"Trafik"
"Use SMTP transport ";"Använd SMTP trafik"
"SMTP host";"SMTP värd"
"SMTP username";"SMTP användarnamn"
"SMTP password";"SMTP lösenort"
"Update Mail Settings";"Uppdatera Mail Inställningar"
"Send test message";"Skicka test meddelande"
"Google Integration";"Google-integration"
"Verification code";"Verifieringskod"
"Tracking code";"Spårningskod"
"Update Google Settings";"Uppdatera Google Inställningar"
"The site sections is where you manage your site.";"Webbplatsavsnitt är där du hanterar din webbplats"
"Create new user";"Skapa ny användare"
"Admin Users";"Administratörsanvändare"
"Open console";"Öppna konsol"
# admin section -- User --
"Update Account";"Uppdatera konto"
"Open User";"Öppna Användare"
"User";"Användare"
"Create User";"Skapa Användare"
"Create New User";"Skapa Ny Användare"
"General Information";"Allmän information"
"User Options";"Användarval"
"Account";"Konto information"
"Credentials";"Uppgifter"
"Permissions";"Rättigheter"
"Copy Permissions";
"If you have another user who already has the same permissions as this user you can copy that user's role.";"Om du har en annan användare som redan har samma behörihet som användaren kan du kopiera användarens roll."
"Update User";"Uppdatera Användare"
"User Permissions";"Användarrättigheter"
"Update Permissions";"Uppdatera användarrättigheter"
"Login Credentials";"Inloggningsuppgifter"
"Confirm Password";
"Update Password";"Uppdatera lösenord"
"Email Address";"E-post Adress"
"OpenID";
"Admin Role";"Administratörs Roll"
"Site Administrator";"Webbplats administratör"
"Super Administrator";"Super administratör"
"Account Information";"Konto information"
# admin section – Util --
"Invalid placeholder passed";
# admin section -- View Helper --
"Unable to locate skin folder";
"Current User";"Nuvarande användare"
"Role";"Roll"
"Log Out";"Logga Ut"
"Select One";"Välj en"
"Select User";"Markera användare"
"Always";
"Never";
"By browser check";
"Select a module";"Välj en modul"
"There are no modules currently installed";
"There are no pages in this module";
"First";
"Previous";
"Next";
"Last";
"The following errors have occurred";"Följande fel har uppstått"
"Errors";"Fel"
"Message";
"Set Language";
"You are reading this page in";"Du läser den här sidan i"
"This page is also translated into";"Den här sidan är också översatt till"
# admin section – Install --
"Digitalus CMS Installer";
"Available Languages:";
"Results";
"For help installing Digitalus CMS check out our site";
"Successfully completed tasks";
"The following tasks were successfully completed:";
"Warnings";
"The following items are not quite right, and should be fixed at some point:";
"The following errors have occurred, and will need to be fixed prior to installation:";
"Your server is properly configured to host the Digitalus CMS efficiently and securely!";
"Site Admin Account";
"Digitalus CMS uses your email address as the username for the CMS, because it is unique and easy to remember. You can enter what ever you like for a password, but bear in mind that your site is only as secure as this password!";
"Database Connection Information";
"Now you need to set up the database connection. If you are unsure about this contact your hosting provider.";
"Database Adapter";
